stimType,stimID,thisRow.t,transparent,idiom,word,sentPos,readingTimes,questionCorrect,participantAnswer,trials.trialKey.rt,trials.trialKey.keys,trials.questionKey.rt,trials.questionKey.keys,trials.pauseKey.keys,trialKey.rt,trialKey.keys,questionKey.rt,questionKey.keys,practice.trialKey.rt,practice.trialKey.keys,practice.questionKey.rt,practice.questionKey.keys,pauseKey.keys,participant,notes,keyWelcome.rt,keyWelcome.keys,keyStart.rt,keyStart.keys,frameRate,expName,welcome.stopped,welcome.started,trials.trialKey.duration,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.questionKey.duration,trialText.started,trialKey.started,trialKey.duration,trial.stopped,trial.started,thisTrialN,thisRepN,thisN,start.stopped,start.started,session,questionText.started,questionKey.started,questionKey.duration,question.stopped,question.started,psychopyVersion,practice.trialKey.duration,practice.thisTrialN,practice.thisRepN,practice.thisN,practice.thisIndex,practice.questionKey.duration,pause.stopped,pause.started,meaning_literal,meaning_idiomatic,meaning_distractor,keyWelcome.started,keyWelcome.duration,keyStart.started,keyStart.duration,fixation.stopped,fixation.started,fix.stopped,fix.started,feedback.stopped,feedback.started,fb.stopped,fb.started,expStart,date,
practice_f,d,,0,Leon zit in de bus.,bus.,4,0.38410030002705753,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,1,0,1,3,,,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,c,12.374167199945077,1,Hannah staat met haar mond vol brood.,Hannah,0,0.6005655999761075,0,distractor,,,,,,,,,,2.5657601000275463,space,1.189661500044167,a,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,13.373708199942484,13.373708199942484,,10.114180999924429,13.361159699968994,2,0,2,,,001,10.140711099957116,10.140711099957116,,11.346465599955991,10.126251699985005,2024.2.4,None,2,0,2,2,None,,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,12.374167199945077,13.361036899965256,12.361002099933103,12.360822299961,11.351058600004762,,11.373293199925683,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,c,,1,Hannah staat met haar mond vol brood.,staat,1,0.39974240004085004,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,2,,,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,c,,1,Hannah staat met haar mond vol brood.,met,2,0.43338699999731034,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,2,,,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,c,,1,Hannah staat met haar mond vol brood.,haar,3,0.4331522999564186,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,2,,,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,c,,1,Hannah staat met haar mond vol brood.,mond,4,0.433299700031057,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,2,,,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,c,,1,Hannah staat met haar mond vol brood.,vol,5,0.4005514000309631,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,2,,,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,c,,1,Hannah staat met haar mond vol brood.,brood.,6,0.4319050000049174,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,2,,,,Hannah heeft haar mond vol met brood.,Hannah weet niet wat ze moet zeggen.,Hannah is gulzig en eet veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,a,20.1406589000253,1,Laura schopt het ver.,Laura,0,0.6828579999273643,0,distractor,,,,,,,,,,3.107644099975005,space,2.597883199923672,c,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,21.1405302999774,21.1405302999774,,16.49550449999515,21.128134400001727,3,0,3,,,001,16.52360379998572,16.52360379998572,,19.130343699944206,16.508285299991257,2024.2.4,None,3,0,3,0,None,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,21.1405302999774,20.1406589000253,21.128002999932505,20.12894399999641,20.128767399932258,19.13082800002303,20.1406589000253,19.140852499986067,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,a,,1,Laura schopt het ver.,schopt,1,0.40168290003202856,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,3,0,3,,,001,,,,,,2024.2.4,,3,0,3,0,,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
