stimType,stimID,thisRow.t,transparent,idiom,word,sentPos,readingTimes,questionCorrect,participantAnswer,trials.trialKey.rt,trials.trialKey.keys,trials.questionKey.rt,trials.questionKey.keys,trials.pauseKey.rt,trials.pauseKey.keys,trialKey.rt,trialKey.keys,questionKey.rt,questionKey.keys,practice.trialKey.rt,practice.trialKey.keys,practice.questionKey.rt,practice.questionKey.keys,pauseKey.rt,pauseKey.keys,participant,notes,keyWelcome.rt,keyWelcome.keys,keyStart.rt,keyStart.keys,keyEnd.rt,keyEnd.keys,frameRate,expName,welcome.stopped,welcome.started,trials.trialKey.duration,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.questionKey.duration,trials.pauseKey.duration,trialText.started,trialKey.started,trialKey.duration,trial.stopped,trial.started,thisTrialN,thisRepN,thisN,start.stopped,start.started,session,questionText.started,questionKey.started,questionKey.duration,question.stopped,question.started,psychopyVersion,practice.trialKey.duration,practice.thisTrialN,practice.thisRepN,practice.thisN,practice.thisIndex,practice.questionKey.duration,pauseText.started,pauseKey.started,pauseKey.duration,pause.stopped,pause.started,meaning_literal,meaning_idiomatic,meaning_distractor,keyWelcome.started,keyWelcome.duration,keyStart.started,keyStart.duration,keyEnd.started,keyEnd.duration,fixation.stopped,fixation.started,fix.stopped,fix.started,feedback.stopped,feedback.started,fb.stopped,fb.started,expStart,end.stopped,end.started,date,
practice_f,d,,0,Leon zit in de bus.,in,2,0.5353699000552297,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,1,0,1,3,,,,,,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_f,d,,0,Leon zit in de bus.,de,3,0.5976747999666259,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,1,0,1,3,,,,,,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_f,d,,0,Leon zit in de bus.,bus.,4,0.8000135000329465,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,1,0,1,3,,,,,,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,b,31.197698700008914,0,Tom heeft veel in zijn mars.,Tom,0,0.5174076999537647,1,literal,,,,,,,,,,,2.9311215999769047,space,5.0182342999614775,a,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,32.197593400022015,32.197593400022015,,25.13733279996086,32.18585879995953,2,0,2,,,001,25.163762499927543,25.163762499927543,,30.187327899970114,25.149369699996896,2024.2.4,None,2,0,2,1,None,,,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,32.197593400022015,31.197698700008914,32.18572159996256,31.185501100029796,31.18531410000287,30.187838900019415,31.197698700008914,30.198218900011852,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,b,,0,Tom heeft veel in zijn mars.,heeft,1,0.7659943000180647,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,1,,,,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,b,,0,Tom heeft veel in zijn mars.,veel,2,0.48271050001494586,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,1,,,,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,b,,0,Tom heeft veel in zijn mars.,in,3,0.5663806999800727,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,1,,,,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,b,,0,Tom heeft veel in zijn mars.,zijn,4,0.3350443000672385,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,1,,,,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,b,,0,Tom heeft veel in zijn mars.,mars.,5,0.448427899973467,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,2,0,2,1,,,,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,a,39.13122169999406,1,Laura schopt het ver.,Laura,0,0.799845700035803,1,idiomatic,,,,,,,,,,,3.101043700007722,space,2.7877270000753924,b,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,40.1310410000151,40.1310410000151,,35.303518699947745,40.11912409996148,3,0,3,,,001,35.33061129995622,35.33061129995622,,38.120959499967285,35.31475729995873,2024.2.4,None,3,0,3,0,None,,,,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,40.1310410000151,39.13122169999406,40.11898279993329,39.11968479992356,39.11949479999021,38.12145839992445,39.13122169999406,38.13090510002803,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,a,,1,Laura schopt het ver.,schopt,1,0.39901169994845986,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,3,0,3,,,001,,,,,,2024.2.4,,3,0,3,0,,,,,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
